Data;Godzina;Minuty;Wolumen
2014-01-01;0;15;14744.40
2014-01-01;0;30;14797.80
2014-01-01;0;45;14615.00
2014-01-01;1;0;14403.80
2014-01-01;1;15;14186.00
2014-01-01;1;30;13976.50
2014-01-01;1;45;13792.80
2014-01-01;2;0;13673.40
2014-01-01;2;15;13521.00
2014-01-01;2;30;13260.00
2014-01-01;2;45;13137.60
2014-01-01;3;0;13029.20
2014-01-01;3;15;12922.40
2014-01-01;3;30;12847.30
2014-01-01;3;45;12791.10
2014-01-01;4;0;12650.30
2014-01-01;4;15;12767.80
2014-01-01;4;30;12737.80
2014-01-01;4;45;12737.70
2014-01-01;5;0;12752.50
2014-01-01;5;15;12765.80
2014-01-01;5;30;12688.90
2014-01-01;5;45;12734.70
2014-01-01;6;0;12883.10
2014-01-01;6;15;12919.10
2014-01-01;6;30;12937.60
2014-01-01;6;45;12954.60
2014-01-01;7;0;13133.80
2014-01-01;7;15;13323.60
2014-01-01;7;30;13223.80
2014-01-01;7;45;13130.20
2014-01-01;8;0;13107.80
2014-01-01;8;15;13096.70
2014-01-01;8;30;13116.10
2014-01-01;8;45;13257.50
2014-01-01;9;0;13473.80
2014-01-01;9;15;13384.30
2014-01-01;9;30;13525.90
2014-01-01;9;45;13462.90
2014-01-01;10;0;13420.80
2014-01-01;10;15;13502.30
2014-01-01;10;30;13643.40
2014-01-01;10;45;13605.20
2014-01-01;11;0;13741.30
2014-01-01;11;15;13926.80
2014-01-01;11;30;13965.50
2014-01-01;11;45;14061.30
2014-01-01;12;0;14248.90
2014-01-01;12;15;14295.10
2014-01-01;12;30;14365.20
2014-01-01;12;45;14405.80
2014-01-01;13;0;14527.60
2014-01-01;13;15;14790.60
2014-01-01;13;30;14838.10
2014-01-01;13;45;14796.30
2014-01-01;14;0;14925.40
2014-01-01;14;15;14896.50
2014-01-01;14;30;14870.80
2014-01-01;14;45;14910.50
2014-01-01;15;0;14855.70
2014-01-01;15;15;14912.90
2014-01-01;15;30;15091.60
