Data;Godzina;Minuty;Wolumen
2012-01-02;19;30;22548.00
2012-01-02;19;45;22274.90
2012-01-02;20;0;22232.60
2012-01-02;20;15;22120.20
2012-01-02;20;30;21697.50
2012-01-02;20;45;21502.60
2012-01-02;21;0;21019.70
2012-01-02;21;15;20773.90
2012-01-02;21;30;20549.80
2012-01-02;21;45;19922.90
2012-01-02;22;0;19494.50
2012-01-02;22;15;19025.70
2012-01-02;22;30;18963.60
2012-01-02;22;45;18364.10
2012-01-02;23;0;18057.60
2012-01-02;23;15;17717.10
2012-01-02;23;30;17187.90
2012-01-02;23;45;16896.40
2012-01-02;24;0;16755.90
2012-01-03;0;15;16673.20
2012-01-03;0;30;16368.00
2012-01-03;0;45;16199.70
2012-01-03;1;0;16024.20
2012-01-03;1;15;15976.10
2012-01-03;1;30;15869.20
2012-01-03;1;45;15753.30
2012-01-03;2;0;15547.40
2012-01-03;2;15;15536.70
2012-01-03;2;30;15536.10
2012-01-03;2;45;15523.90
2012-01-03;3;0;15525.10
2012-01-03;3;15;15519.80
2012-01-03;3;30;15842.10
2012-01-03;3;45;15766.30
2012-01-03;4;0;15738.10
2012-01-03;4;15;15995.90
2012-01-03;4;30;16000.30
2012-01-03;4;45;16189.80
2012-01-03;5;0;16173.30
2012-01-03;5;15;16368.70
2012-01-03;5;30;16669.70
2012-01-03;5;45;16960.70
2012-01-03;6;0;17306.70
2012-01-03;6;15;17902.80
2012-01-03;6;30;18464.20
2012-01-03;6;45;18885.00
2012-01-03;7;0;19646.90
2012-01-03;7;15;20322.60
2012-01-03;7;30;20356.40
2012-01-03;7;45;20382.10
2012-01-03;8;0;20614.90
2012-01-03;8;15;20726.40
2012-01-03;8;30;21007.30
2012-01-03;8;45;21003.70
2012-01-03;9;0;21067.20
2012-01-03;9;15;21273.70
2012-01-03;9;30;21134.40
2012-01-03;9;45;21294.70
2012-01-03;10;0;21067.00
2012-01-03;10;15;20827.70
2012-01-03;10;30;21223.50
2012-01-03;10;45;21247.90
2012-01-03;11;0;21279.40
2012-01-03;11;15;21188.60
2012-01-03;11;30;21148.20
2012-01-03;11;45;21322.70
2012-01-03;12;0;21112.90
2012-01-03;12;15;21142.00
2012-01-03;12;30;21042.20
2012-01-03;12;45;21108.60
2012-01-03;13;0;21154.20
2012-01-03;13;15;21338.70
2012-01-03;13;30;21275.40
2012-01-03;13;45;21174.80
2012-01-03;14;0;20881.60
2012-01-03;14;15;21006.10
2012-01-03;14;30;20985.90
2012-01-03;14;45;20980.70
2012-01-03;15;0;20954.30
2012-01-03;15;15;20867.50
2012-01-03;15;30;21023.00
2012-01-03;15;45;21384.00
2012-01-03;16;0;22023.40
2012-01-03;16;15;22654.90
2012-01-03;16;30;23033.20
2012-01-03;16;45;23273.90
2012-01-03;17;0;23164.00
2012-01-03;17;15;23173.50
2012-01-03;17;30;23218.00
2012-01-03;17;45;23178.40
2012-01-03;18;0;22963.40
2012-01-03;18;15;22937.20
2012-01-03;18;30;23091.10
2012-01-03;18;45;22860.20
2012-01-03;19;0;22987.80
2012-01-03;19;15;22686.70
2012-01-03;19;30;22784.70
2012-01-03;19;45;22743.40
2012-01-03;20;0;22541.90
2012-01-03;20;15;22189.10
2012-01-03;20;30;21889.50
2012-01-03;20;45;21771.30
2012-01-03;21;0;21319.00
2012-01-03;21;15;20983.90
2012-01-03;21;30;20675.00
2012-01-03;21;45;20217.10
2012-01-03;22;0;19613.20
2012-01-03;22;15;19324.40
2012-01-03;22;30;18874.00
2012-01-03;22;45;18532.20
2012-01-03;23;0;18108.90
2012-01-03;23;15;17839.00
2012-01-03;23;30;17419.40
2012-01-03;23;45;17078.00
2012-01-03;24;0;16593.70
2012-01-04;0;15;16292.10
2012-01-04;0;30;16238.20
2012-01-04;0;45;15955.00
2012-01-04;1;0;15624.10
2012-01-04;1;15;15822.10
2012-01-04;1;30;15663.40
2012-01-04;1;45;15722.70
2012-01-04;2;0;15371.70
2012-01-04;2;15;15551.50
2012-01-04;2;30;15892.90
2012-01-04;2;45;16010.60
2012-01-04;3;0;15880.60
2012-01-04;3;15;15829.70
2012-01-04;3;30;15944.40
2012-01-04;3;45;15839.30
2012-01-04;4;0;15944.20
2012-01-04;4;15;16032.10
2012-01-04;4;30;15942.70
2012-01-04;4;45;15933.20
2012-01-04;5;0;15966.00
2012-01-04;5;15;16276.30
2012-01-04;5;30;16287.10
2012-01-04;5;45;16549.70
2012-01-04;6;0;16768.90
2012-01-04;6;15;17653.30
2012-01-04;6;30;18486.50
2012-01-04;6;45;19012.10
2012-01-04;7;0;19855.10
2012-01-04;7;15;20498.30
2012-01-04;7;30;20639.30
2012-01-04;7;45;20462.30
2012-01-04;8;0;20488.60
2012-01-04;8;15;20917.60
2012-01-04;8;30;21001.90
2012-01-04;8;45;21216.50
2012-01-04;9;0;21246.30
2012-01-04;9;15;21234.00
2012-01-04;9;30;21398.90
2012-01-04;9;45;21475.80
2012-01-04;10;0;21254.50
2012-01-04;10;15;21262.00
2012-01-04;10;30;21325.00
2012-01-04;10;45;21647.50
2012-01-04;11;0;21680.20
2012-01-04;11;15;21837.40
2012-01-04;11;30;21795.60
2012-01-04;11;45;21871.20
2012-01-04;12;0;21843.60
2012-01-04;12;15;21874.20
2012-01-04;12;30;21806.30
2012-01-04;12;45;21873.50
2012-01-04;13;0;21975.70
2012-01-04;13;15;22194.30
2012-01-04;13;30;22268.70
2012-01-04;13;45;21937.70
2012-01-04;14;0;21629.90
2012-01-04;14;15;21830.50
2012-01-04;14;30;21631.00
2012-01-04;14;45;21834.20
2012-01-04;15;0;21701.30
2012-01-04;15;15;21514.60
2012-01-04;15;30;21631.20
2012-01-04;15;45;22008.90
2012-01-04;16;0;22512.20
2012-01-04;16;15;23004.70
2012-01-04;16;30;23375.30
2012-01-04;16;45;23182.20
2012-01-04;17;0;23493.90
2012-01-04;17;15;23260.50
2012-01-04;17;30;23357.90
2012-01-04;17;45;23201.00
2012-01-04;18;0;23122.20
2012-01-04;18;15;22786.20
2012-01-04;18;30;23056.10
2012-01-04;18;45;22809.80
2012-01-04;19;0;22978.50
2012-01-04;19;15;22739.30
2012-01-04;19;30;22870.00
2012-01-04;19;45;22726.30
2012-01-04;20;0;22586.60
2012-01-04;20;15;22237.00
2012-01-04;20;30;22084.00
2012-01-04;20;45;22000.10
2012-01-04;21;0;21566.40
2012-01-04;21;15;21379.50
2012-01-04;21;30;20678.10
2012-01-04;21;45;20361.60
2012-01-04;22;0;19593.30
2012-01-04;22;15;19480.70
2012-01-04;22;30;19151.80
2012-01-04;22;45;18756.00
2012-01-04;23;0;18191.90
2012-01-04;23;15;17885.80
2012-01-04;23;30;17648.00
2012-01-04;23;45;17146.30
2012-01-04;24;0;16846.70
2012-01-05;0;15;16759.20
2012-01-05;0;30;16339.30
2012-01-05;0;45;16164.80
2012-01-05;1;0;16050.90
2012-01-05;1;15;16037.90
2012-01-05;1;30;15809.80
2012-01-05;1;45;15866.60
2012-01-05;2;0;15828.30
2012-01-05;2;15;15664.50
2012-01-05;2;30;15720.80
2012-01-05;2;45;15677.10
2012-01-05;3;0;15687.00
2012-01-05;3;15;15762.30
