Data;Godzina;Minuty;Wolumen
2016-01-01;0;15;15150.30
2016-01-01;0;30;15164.90
2016-01-01;0;45;14974.50
2016-01-01;1;0;14819.50
2016-01-01;1;15;14644.30
2016-01-01;1;30;14513.20
2016-01-01;1;45;14360.00
2016-01-01;2;0;14098.80
2016-01-01;2;15;13979.00
2016-01-01;2;30;13772.00
2016-01-01;2;45;13796.80
2016-01-01;3;0;13591.50
2016-01-01;3;15;13558.60
2016-01-01;3;30;13474.80
2016-01-01;3;45;13310.50
2016-01-01;4;0;13242.50
2016-01-01;4;15;13247.90
2016-01-01;4;30;13354.70
2016-01-01;4;45;13560.20
2016-01-01;5;0;13561.20
2016-01-01;5;15;13585.00
2016-01-01;5;30;13677.20
2016-01-01;5;45;13816.80
2016-01-01;6;0;13772.10
2016-01-01;6;15;13901.40
2016-01-01;6;30;13913.50
2016-01-01;6;45;13942.40
2016-01-01;7;0;13974.20
2016-01-01;7;15;13947.70
2016-01-01;7;30;13764.50
2016-01-01;7;45;13645.60
2016-01-01;8;0;13616.20
2016-01-01;8;15;13631.50
2016-01-01;8;30;13699.90
2016-01-01;8;45;13942.80
2016-01-01;9;0;13941.20
2016-01-01;9;15;14137.00
2016-01-01;9;30;14260.40
2016-01-01;9;45;14054.20
2016-01-01;10;0;13949.70
2016-01-01;10;15;14047.20
2016-01-01;10;30;14177.80
2016-01-01;10;45;14249.30
2016-01-01;11;0;14473.10
2016-01-01;11;15;14576.30
2016-01-01;11;30;14677.70
2016-01-01;11;45;14752.60
2016-01-01;12;0;14869.40
2016-01-01;12;15;15015.20
2016-01-01;12;30;15098.30
2016-01-01;12;45;15118.20
2016-01-01;13;0;15211.50
2016-01-01;13;15;15518.80
2016-01-01;13;30;15463.30
2016-01-01;13;45;15509.00
2016-01-01;14;0;15591.20
2016-01-01;14;15;15488.90
2016-01-01;14;30;15610.80
2016-01-01;14;45;15620.60
2016-01-01;15;0;15494.60
2016-01-01;15;15;15559.50
2016-01-01;15;30;15619.00
2016-01-01;15;45;15935.10
2016-01-01;16;0;16428.20
2016-01-01;16;15;16974.90
2016-01-01;16;30;17276.60
2016-01-01;16;45;17435.30
2016-01-01;17;0;17461.50
2016-01-01;17;15;17595.90
2016-01-01;17;30;17604.90
2016-01-01;17;45;17597.80
2016-01-01;18;0;17641.30
2016-01-01;18;15;17682.10
2016-01-01;18;30;17640.10
2016-01-01;18;45;17663.90
2016-01-01;19;0;17644.30
2016-01-01;19;15;17698.70
2016-01-01;19;30;17733.80
2016-01-01;19;45;17538.00
2016-01-01;20;0;17524.00
2016-01-01;20;15;17491.80
2016-01-01;20;30;17393.70
2016-01-01;20;45;17276.20
2016-01-01;21;0;16995.10
2016-01-01;21;15;16890.00
2016-01-01;21;30;16646.30
2016-01-01;21;45;16492.30
2016-01-01;22;0;16334.50
2016-01-01;22;15;16195.80
2016-01-01;22;30;15995.40
2016-01-01;22;45;15822.10
2016-01-01;23;0;15373.10
2016-01-01;23;15;15115.00
2016-01-01;23;30;14772.30
2016-01-01;23;45;14494.10
2016-01-01;24;0;14365.90
2016-01-02;0;15;14060.10
2016-01-02;0;30;13869.70
2016-01-02;0;45;13705.00
2016-01-02;1;0;13516.80
2016-01-02;1;15;13377.40
2016-01-02;1;30;13668.50
2016-01-02;1;45;13573.90
2016-01-02;2;0;13653.60
2016-01-02;2;15;13633.70
2016-01-02;2;30;13577.60
2016-01-02;2;45;13496.70
2016-01-02;3;0;13552.90
2016-01-02;3;15;13651.10
2016-01-02;3;30;13765.40
2016-01-02;3;45;13979.00
2016-01-02;4;0;13987.40
2016-01-02;4;15;13842.80
2016-01-02;4;30;13757.10
2016-01-02;4;45;13829.70
2016-01-02;5;0;13949.70
2016-01-02;5;15;14127.90
2016-01-02;5;30;14316.20
2016-01-02;5;45;14448.00
2016-01-02;6;0;14680.60
2016-01-02;6;15;14980.30
2016-01-02;6;30;15135.30
2016-01-02;6;45;15078.00
2016-01-02;7;0;15172.40
2016-01-02;7;15;15234.40
2016-01-02;7;30;15110.70
2016-01-02;7;45;15236.80
2016-01-02;8;0;15444.80
2016-01-02;8;15;15743.40
2016-01-02;8;30;15899.60
2016-01-02;8;45;16317.60
2016-01-02;9;0;16819.50
2016-01-02;9;15;17072.40
2016-01-02;9;30;17387.50
2016-01-02;9;45;17484.20
2016-01-02;10;0;17812.00
2016-01-02;10;15;17958.70
2016-01-02;10;30;18071.00
2016-01-02;10;45;18072.50
2016-01-02;11;0;18147.80
2016-01-02;11;15;18323.50
2016-01-02;11;30;18347.50
2016-01-02;11;45;18323.20
2016-01-02;12;0;18380.40
2016-01-02;12;15;18380.80
2016-01-02;12;30;18366.40
2016-01-02;12;45;18432.30
2016-01-02;13;0;18553.60
2016-01-02;13;15;18828.00
2016-01-02;13;30;18761.30
2016-01-02;13;45;18725.80
2016-01-02;14;0;18635.40
2016-01-02;14;15;18730.90
2016-01-02;14;30;18698.90
2016-01-02;14;45;18710.80
2016-01-02;15;0;18633.20
2016-01-02;15;15;18521.90
2016-01-02;15;30;18696.00
2016-01-02;15;45;18899.10
2016-01-02;16;0;19381.10
2016-01-02;16;15;20057.10
2016-01-02;16;30;20453.30
2016-01-02;16;45;20534.70
2016-01-02;17;0;20538.40
2016-01-02;17;15;20395.20
2016-01-02;17;30;20534.50
2016-01-02;17;45;20307.00
2016-01-02;18;0;20437.30
2016-01-02;18;15;20396.40
2016-01-02;18;30;20251.10
2016-01-02;18;45;20309.30
2016-01-02;19;0;20199.70
2016-01-02;19;15;20260.40
2016-01-02;19;30;20191.00
2016-01-02;19;45;20091.90
2016-01-02;20;0;20053.90
2016-01-02;20;15;20005.00
2016-01-02;20;30;19885.50
2016-01-02;20;45;19537.70
2016-01-02;21;0;19326.50
2016-01-02;21;15;19015.70
2016-01-02;21;30;18771.30
2016-01-02;21;45;18377.90
2016-01-02;22;0;18126.20
2016-01-02;22;15;18121.20
2016-01-02;22;30;17873.00
2016-01-02;22;45;17500.80
2016-01-02;23;0;17244.70
2016-01-02;23;15;16869.30
2016-01-02;23;30;16626.20
2016-01-02;23;45;16276.20
2016-01-02;24;0;15962.80
2016-01-03;0;15;15714.30
2016-01-03;0;30;15469.70
2016-01-03;0;45;15410.60
2016-01-03;1;0;15387.90
2016-01-03;1;15;15241.50
2016-01-03;1;30;15357.50
2016-01-03;1;45;15197.00
2016-01-03;2;0;15202.80
2016-01-03;2;15;15193.10
2016-01-03;2;30;15122.70
2016-01-03;2;45;14971.50
2016-01-03;3;0;14965.90
2016-01-03;3;15;15048.90
2016-01-03;3;30;14814.40
2016-01-03;3;45;14992.00
2016-01-03;4;0;14989.30
2016-01-03;4;15;15007.60
2016-01-03;4;30;15061.80
2016-01-03;4;45;15134.10
2016-01-03;5;0;15148.90
2016-01-03;5;15;15207.50
2016-01-03;5;30;15229.90
2016-01-03;5;45;15183.00
2016-01-03;6;0;15300.80
2016-01-03;6;15;15597.90
2016-01-03;6;30;15591.00
2016-01-03;6;45;15666.30
2016-01-03;7;0;15509.50
2016-01-03;7;15;15596.70
2016-01-03;7;30;15475.30
2016-01-03;7;45;15358.90
2016-01-03;8;0;15371.70
2016-01-03;8;15;15699.20
2016-01-03;8;30;15998.40
2016-01-03;8;45;16108.80
2016-01-03;9;0;16528.40
2016-01-03;9;15;16790.40
2016-01-03;9;30;17034.20
2016-01-03;9;45;17237.30
2016-01-03;10;0;17497.50
2016-01-03;10;15;17717.80
2016-01-03;10;30;17823.30
2016-01-03;10;45;17904.50
2016-01-03;11;0;18000.90
2016-01-03;11;15;18021.00
