Data;Godzina;Minuty;Wolumen
2010-01-01;0;15;15308.60
2010-01-01;0;30;15326.00
2010-01-01;0;45;15134.30
2010-01-01;1;0;14854.70
2010-01-01;1;15;14688.60
2010-01-01;1;30;14391.30
2010-01-01;1;45;14268.20
2010-01-01;2;0;13995.90
2010-01-01;2;15;13933.60
2010-01-01;2;30;13663.80
2010-01-01;2;45;13569.40
2010-01-01;3;0;13450.70
2010-01-01;3;15;13371.60
2010-01-01;3;30;13141.50
2010-01-01;3;45;13150.10
2010-01-01;4;0;12979.10
2010-01-01;4;15;13011.30
2010-01-01;4;30;12920.80
2010-01-01;4;45;12818.20
2010-01-01;5;0;12827.10
2010-01-01;5;15;12845.40
2010-01-01;5;30;12701.20
2010-01-01;5;45;12673.00
2010-01-01;6;0;12624.50
2010-01-01;6;15;12765.30
2010-01-01;6;30;13021.20
2010-01-01;6;45;13036.40
2010-01-01;7;0;12975.30
2010-01-01;7;15;13022.40
2010-01-01;7;30;12881.50
2010-01-01;7;45;12604.30
2010-01-01;8;0;12587.50
2010-01-01;8;15;12509.80
2010-01-01;8;30;12504.40
2010-01-01;8;45;12591.30
2010-01-01;9;0;12751.80
2010-01-01;9;15;12794.00
2010-01-01;9;30;13052.10
2010-01-01;9;45;13206.30
2010-01-01;10;0;13315.40
2010-01-01;10;15;13129.90
2010-01-01;10;30;13343.90
2010-01-01;10;45;13443.60
2010-01-01;11;0;13585.60
2010-01-01;11;15;13632.30
2010-01-01;11;30;13829.30
2010-01-01;11;45;13850.10
2010-01-01;12;0;14117.10
2010-01-01;12;15;14247.10
2010-01-01;12;30;14317.30
2010-01-01;12;45;14319.30
2010-01-01;13;0;14412.80
2010-01-01;13;15;14657.90
2010-01-01;13;30;14855.50
2010-01-01;13;45;14804.70
2010-01-01;14;0;14889.00
2010-01-01;14;15;14778.70
2010-01-01;14;30;14909.20
2010-01-01;14;45;14931.00
2010-01-01;15;0;14882.10
2010-01-01;15;15;14885.50
2010-01-01;15;30;15056.50
2010-01-01;15;45;15344.30
2010-01-01;16;0;15954.20
2010-01-01;16;15;16604.30
2010-01-01;16;30;16914.00
2010-01-01;16;45;16984.20
2010-01-01;17;0;16970.60
2010-01-01;17;15;17123.50
2010-01-01;17;30;17139.10
2010-01-01;17;45;17202.60
2010-01-01;18;0;17178.40
2010-01-01;18;15;17141.40
2010-01-01;18;30;17170.80
2010-01-01;18;45;17087.60
2010-01-01;19;0;17273.30
2010-01-01;19;15;17264.00
2010-01-01;19;30;17413.80
2010-01-01;19;45;17203.00
2010-01-01;20;0;17217.20
2010-01-01;20;15;17201.00
2010-01-01;20;30;16965.20
2010-01-01;20;45;16719.60
2010-01-01;21;0;16613.60
2010-01-01;21;15;16394.30
2010-01-01;21;30;16355.30
2010-01-01;21;45;16096.00
2010-01-01;22;0;16073.70
2010-01-01;22;15;16051.60
2010-01-01;22;30;15784.90
2010-01-01;22;45;15390.20
2010-01-01;23;0;15092.80
2010-01-01;23;15;14786.60
2010-01-01;23;30;14607.80
2010-01-01;23;45;14194.30
2010-01-01;24;0;13928.00
2010-01-02;0;15;13779.50
2010-01-02;0;30;13560.40
2010-01-02;0;45;13389.20
2010-01-02;1;0;13143.60
2010-01-02;1;15;13056.50
2010-01-02;1;30;12821.00
2010-01-02;1;45;12837.90
2010-01-02;2;0;12881.60
2010-01-02;2;15;12898.10
2010-01-02;2;30;12837.60
2010-01-02;2;45;12912.00
2010-01-02;3;0;13044.80
2010-01-02;3;15;13011.00
2010-01-02;3;30;12874.90
2010-01-02;3;45;12967.30
2010-01-02;4;0;12990.20
2010-01-02;4;15;13015.10
2010-01-02;4;30;12990.80
2010-01-02;4;45;12936.00
2010-01-02;5;0;13014.70
2010-01-02;5;15;13022.90
2010-01-02;5;30;13214.90
2010-01-02;5;45;13273.60
2010-01-02;6;0;13399.80
2010-01-02;6;15;13784.00
2010-01-02;6;30;14064.10
2010-01-02;6;45;14157.00
2010-01-02;7;0;14374.60
2010-01-02;7;15;14528.70
2010-01-02;7;30;14562.80
2010-01-02;7;45;14582.20
2010-01-02;8;0;14564.00
2010-01-02;8;15;14739.90
2010-01-02;8;30;15064.30
2010-01-02;8;45;15009.60
2010-01-02;9;0;15324.80
2010-01-02;9;15;15700.00
2010-01-02;9;30;16037.60
2010-01-02;9;45;16051.10
2010-01-02;10;0;16342.90
2010-01-02;10;15;16423.90
2010-01-02;10;30;16756.70
2010-01-02;10;45;16789.30
2010-01-02;11;0;16832.60
2010-01-02;11;15;16905.20
2010-01-02;11;30;17098.90
2010-01-02;11;45;17193.10
2010-01-02;12;0;17257.90
2010-01-02;12;15;17253.70
2010-01-02;12;30;17148.90
2010-01-02;12;45;17308.00
2010-01-02;13;0;17273.80
2010-01-02;13;15;17732.90
2010-01-02;13;30;17729.80
2010-01-02;13;45;17611.00
2010-01-02;14;0;17470.20
2010-01-02;14;15;17449.70
2010-01-02;14;30;17574.90
2010-01-02;14;45;17417.90
2010-01-02;15;0;17497.30
2010-01-02;15;15;17328.40
2010-01-02;15;30;17640.80
2010-01-02;15;45;17980.10
2010-01-02;16;0;18632.10
2010-01-02;16;15;19090.30
2010-01-02;16;30;19302.00
2010-01-02;16;45;19367.90
2010-01-02;17;0;19328.30
2010-01-02;17;15;19543.60
2010-01-02;17;30;19611.40
2010-01-02;17;45;19528.20
2010-01-02;18;0;19424.20
2010-01-02;18;15;19494.00
2010-01-02;18;30;19386.70
2010-01-02;18;45;19401.90
2010-01-02;19;0;19386.50
2010-01-02;19;15;19344.90
2010-01-02;19;30;19363.40
2010-01-02;19;45;19309.80
2010-01-02;20;0;19278.20
2010-01-02;20;15;19114.00
2010-01-02;20;30;18891.60
2010-01-02;20;45;18487.90
2010-01-02;21;0;18409.20
2010-01-02;21;15;18036.20
2010-01-02;21;30;17701.70
2010-01-02;21;45;17577.10
2010-01-02;22;0;17359.20
2010-01-02;22;15;17302.60
2010-01-02;22;30;16963.10
2010-01-02;22;45;16649.20
2010-01-02;23;0;16488.70
2010-01-02;23;15;16192.00
2010-01-02;23;30;15852.10
2010-01-02;23;45;15494.30
2010-01-02;24;0;15220.30
2010-01-03;0;15;14843.00
2010-01-03;0;30;14722.70
2010-01-03;0;45;14400.40
2010-01-03;1;0;14169.50
2010-01-03;1;15;14016.60
2010-01-03;1;30;13784.70
2010-01-03;1;45;13715.30
2010-01-03;2;0;13470.30
2010-01-03;2;15;13416.40
2010-01-03;2;30;13358.70
2010-01-03;2;45;13215.20
2010-01-03;3;0;13248.20
2010-01-03;3;15;13153.90
2010-01-03;3;30;13151.20
2010-01-03;3;45;13146.80
2010-01-03;4;0;13009.60
2010-01-03;4;15;13201.80
2010-01-03;4;30;13010.70
2010-01-03;4;45;13218.80
2010-01-03;5;0;13153.50
2010-01-03;5;15;13188.30
2010-01-03;5;30;13244.70
2010-01-03;5;45;13322.30
2010-01-03;6;0;13330.20
2010-01-03;6;15;13383.30
2010-01-03;6;30;13478.90
2010-01-03;6;45;13655.70
2010-01-03;7;0;13742.60
2010-01-03;7;15;13851.60
2010-01-03;7;30;13817.90
2010-01-03;7;45;13746.90
2010-01-03;8;0;13823.30
2010-01-03;8;15;13814.90
2010-01-03;8;30;14234.70
2010-01-03;8;45;14364.40
2010-01-03;9;0;14637.20
2010-01-03;9;15;14954.80
2010-01-03;9;30;14984.30
2010-01-03;9;45;15286.60
2010-01-03;10;0;15574.50
2010-01-03;10;15;15776.50
2010-01-03;10;30;15950.10
2010-01-03;10;45;15931.20
2010-01-03;11;0;16211.60
2010-01-03;11;15;16150.60
2010-01-03;11;30;16236.20
2010-01-03;11;45;16471.10
2010-01-03;12;0;16464.60
2010-01-03;12;15;16495.30
2010-01-03;12;30;16481.50
2010-01-03;12;45;16638.50
2010-01-03;13;0;16801.20
2010-01-03;13;15;16787.80
2010-01-03;13;30;16926.40
2010-01-03;13;45;16871.50
2010-01-03;14;0;16780.80
2010-01-03;14;15;16702.70
2010-01-03;14;30;16687.70
2010-01-03;14;45;16690.70
2010-01-03;15;0;16612.60
2010-01-03;15;15;16507.90
2010-01-03;15;30;16609.70
2010-01-03;15;45;16827.40
2010-01-03;16;0;17691.40
2010-01-03;16;15;18495.20
2010-01-03;16;30;18825.30
2010-01-03;16;45;18952.40
2010-01-03;17;0;19062.10
2010-01-03;17;15;19278.50
2010-01-03;17;30;19199.70
2010-01-03;17;45;19285.00
2010-01-03;18;0;19117.80
2010-01-03;18;15;19325.50
2010-01-03;18;30;19306.10
2010-01-03;18;45;19348.10
2010-01-03;19;0;19520.40
2010-01-03;19;15;19647.30
2010-01-03;19;30;19592.10
2010-01-03;19;45;19610.70
2010-01-03;20;0;19525.40
2010-01-03;20;15;19381.30
2010-01-03;20;30;19141.00
2010-01-03;20;45;18765.70
2010-01-03;21;0;18524.60
2010-01-03;21;15;18369.30
2010-01-03;21;30;17999.50
2010-01-03;21;45;17676.00
2010-01-03;22;0;17525.00
2010-01-03;22;15;17381.10
2010-01-03;22;30;17158.30
2010-01-03;22;45;16603.60
2010-01-03;23;0;16374.50
2010-01-03;23;15;16029.80
2010-01-03;23;30;15892.40
2010-01-03;23;45;15668.60
2010-01-03;24;0;15421.10
2010-01-04;0;15;15555.60
2010-01-04;0;30;15526.40
2010-01-04;0;45;15414.10
2010-01-04;1;0;15297.70
2010-01-04;1;15;15206.60
2010-01-04;1;30;15054.00
2010-01-04;1;45;14977.80
2010-01-04;2;0;14875.00
2010-01-04;2;15;14745.70
2010-01-04;2;30;14929.70
2010-01-04;2;45;14810.00
2010-01-04;3;0;14881.80
2010-01-04;3;15;14875.00
2010-01-04;3;30;14723.10
2010-01-04;3;45;14903.20
2010-01-04;4;0;14805.40
2010-01-04;4;15;15046.30
2010-01-04;4;30;15080.90
2010-01-04;4;45;15228.00
