Data;Godzina;Minuty;Wolumen
2009-01-01;0;15;15382.50
2009-01-01;0;30;15372.40
2009-01-01;0;45;15168.90
2009-01-01;1;0;14905.70
2009-01-01;1;15;14781.80
2009-01-01;1;30;14551.60
2009-01-01;1;45;14357.10
2009-01-01;2;0;14131.20
2009-01-01;2;15;14033.00
2009-01-01;2;30;13760.70
2009-01-01;2;45;13764.70
2009-01-01;3;0;13588.00
2009-01-01;3;15;13447.60
2009-01-01;3;30;13308.70
2009-01-01;3;45;13209.40
2009-01-01;4;0;13034.10
2009-01-01;4;15;13132.60
2009-01-01;4;30;13027.80
2009-01-01;4;45;12951.90
2009-01-01;5;0;12794.70
2009-01-01;5;15;13091.50
2009-01-01;5;30;13094.90
2009-01-01;5;45;13020.90
2009-01-01;6;0;12885.10
2009-01-01;6;15;12970.20
2009-01-01;6;30;13013.90
2009-01-01;6;45;13032.30
2009-01-01;7;0;13059.60
2009-01-01;7;15;13082.70
2009-01-01;7;30;12820.90
2009-01-01;7;45;12796.90
2009-01-01;8;0;12704.20
2009-01-01;8;15;12880.70
2009-01-01;8;30;12942.00
2009-01-01;8;45;12936.80
2009-01-01;9;0;13029.10
2009-01-01;9;15;13021.00
2009-01-01;9;30;13110.90
2009-01-01;9;45;13251.30
2009-01-01;10;0;13248.70
2009-01-01;10;15;13339.70
2009-01-01;10;30;13431.20
2009-01-01;10;45;13604.10
2009-01-01;11;0;13609.80
2009-01-01;11;15;13758.10
2009-01-01;11;30;13921.40
2009-01-01;11;45;13853.30
2009-01-01;12;0;14146.30
2009-01-01;12;15;14340.20
2009-01-01;12;30;14394.00
2009-01-01;12;45;14519.90
2009-01-01;13;0;14639.90
2009-01-01;13;15;14972.30
2009-01-01;13;30;15031.50
2009-01-01;13;45;15088.50
2009-01-01;14;0;15052.10
2009-01-01;14;15;15175.00
2009-01-01;14;30;15091.60
2009-01-01;14;45;15244.30
2009-01-01;15;0;15240.70
2009-01-01;15;15;15248.70
2009-01-01;15;30;15483.50
2009-01-01;15;45;15705.70
2009-01-01;16;0;16192.40
2009-01-01;16;15;16800.70
2009-01-01;16;30;17055.10
2009-01-01;16;45;17111.90
2009-01-01;17;0;17238.90
2009-01-01;17;15;17211.60
2009-01-01;17;30;17379.80
2009-01-01;17;45;17222.10
2009-01-01;18;0;17329.20
2009-01-01;18;15;17418.80
2009-01-01;18;30;17393.50
2009-01-01;18;45;17425.90
2009-01-01;19;0;17540.40
2009-01-01;19;15;17537.10
2009-01-01;19;30;17624.00
2009-01-01;19;45;17534.10
2009-01-01;20;0;17432.80
2009-01-01;20;15;17417.80
2009-01-01;20;30;17233.50
2009-01-01;20;45;17058.50
2009-01-01;21;0;16781.70
2009-01-01;21;15;16805.60
2009-01-01;21;30;16475.60
2009-01-01;21;45;16270.00
2009-01-01;22;0;16184.90
2009-01-01;22;15;16114.80
2009-01-01;22;30;15816.90
2009-01-01;22;45;15478.90
2009-01-01;23;0;15348.00
2009-01-01;23;15;15082.10
2009-01-01;23;30;14784.30
2009-01-01;23;45;14343.30
2009-01-01;24;0;14205.60
2009-01-02;0;15;14006.70
2009-01-02;0;30;13816.80
2009-01-02;0;45;13449.20
2009-01-02;1;0;13364.80
2009-01-02;1;15;13228.40
2009-01-02;1;30;13174.50
2009-01-02;1;45;13039.50
2009-01-02;2;0;12973.30
2009-01-02;2;15;12874.10
2009-01-02;2;30;12805.90
2009-01-02;2;45;12816.70
2009-01-02;3;0;12846.00
2009-01-02;3;15;12756.70
2009-01-02;3;30;12758.80
2009-01-02;3;45;12717.70
2009-01-02;4;0;12696.80
2009-01-02;4;15;12816.00
2009-01-02;4;30;12817.60
2009-01-02;4;45;13034.20
2009-01-02;5;0;13157.30
2009-01-02;5;15;13215.20
2009-01-02;5;30;13238.60
2009-01-02;5;45;13710.00
2009-01-02;6;0;13947.10
2009-01-02;6;15;14392.70
2009-01-02;6;30;14687.70
2009-01-02;6;45;15029.60
2009-01-02;7;0;15310.00
2009-01-02;7;15;15567.70
2009-01-02;7;30;15305.30
2009-01-02;7;45;15415.50
2009-01-02;8;0;15610.80
2009-01-02;8;15;15947.10
2009-01-02;8;30;16228.30
2009-01-02;8;45;16469.50
2009-01-02;9;0;16778.30
2009-01-02;9;15;17036.50
2009-01-02;9;30;17281.20
2009-01-02;9;45;17410.90
2009-01-02;10;0;17616.70
2009-01-02;10;15;17863.90
2009-01-02;10;30;17950.20
2009-01-02;10;45;18033.90
2009-01-02;11;0;18084.20
2009-01-02;11;15;18128.50
2009-01-02;11;30;18134.00
2009-01-02;11;45;18261.00
2009-01-02;12;0;18299.60
2009-01-02;12;15;18313.20
2009-01-02;12;30;18287.80
2009-01-02;12;45;18345.10
2009-01-02;13;0;18436.70
2009-01-02;13;15;18775.50
2009-01-02;13;30;18664.00
2009-01-02;13;45;18731.30
2009-01-02;14;0;18527.10
2009-01-02;14;15;18590.70
2009-01-02;14;30;18619.70
2009-01-02;14;45;18645.10
2009-01-02;15;0;18376.60
2009-01-02;15;15;18320.20
2009-01-02;15;30;18562.00
2009-01-02;15;45;18703.60
2009-01-02;16;0;19334.50
2009-01-02;16;15;19961.00
2009-01-02;16;30;20421.80
2009-01-02;16;45;20504.70
2009-01-02;17;0;20639.10
2009-01-02;17;15;20629.00
2009-01-02;17;30;20720.00
2009-01-02;17;45;20434.20
2009-01-02;18;0;20667.80
2009-01-02;18;15;20391.60
2009-01-02;18;30;20458.70
2009-01-02;18;45;20386.90
2009-01-02;19;0;20432.00
2009-01-02;19;15;20382.80
2009-01-02;19;30;20370.10
2009-01-02;19;45;20118.60
2009-01-02;20;0;20164.90
2009-01-02;20;15;19895.50
2009-01-02;20;30;19774.80
2009-01-02;20;45;19464.10
2009-01-02;21;0;19279.80
2009-01-02;21;15;18925.40
2009-01-02;21;30;18694.80
2009-01-02;21;45;18453.20
2009-01-02;22;0;18096.00
2009-01-02;22;15;17884.40
2009-01-02;22;30;17470.70
2009-01-02;22;45;17263.40
2009-01-02;23;0;16918.80
2009-01-02;23;15;16607.00
2009-01-02;23;30;16297.60
2009-01-02;23;45;16020.90
2009-01-02;24;0;15803.80
2009-01-03;0;15;15439.00
2009-01-03;0;30;15126.30
2009-01-03;0;45;14919.50
2009-01-03;1;0;14674.50
2009-01-03;1;15;14521.60
2009-01-03;1;30;14331.80
2009-01-03;1;45;14312.90
2009-01-03;2;0;14157.80
2009-01-03;2;15;14023.40
2009-01-03;2;30;13945.50
2009-01-03;2;45;13946.30
2009-01-03;3;0;13961.50
2009-01-03;3;15;14088.00
2009-01-03;3;30;13950.40
2009-01-03;3;45;14031.30
2009-01-03;4;0;14066.00
2009-01-03;4;15;14114.70
2009-01-03;4;30;14029.40
2009-01-03;4;45;14102.20
2009-01-03;5;0;14059.60
2009-01-03;5;15;14144.70
2009-01-03;5;30;14184.30
2009-01-03;5;45;14314.30
2009-01-03;6;0;14167.30
2009-01-03;6;15;14413.10
2009-01-03;6;30;14569.80
2009-01-03;6;45;14770.90
2009-01-03;7;0;15010.60
2009-01-03;7;15;15099.40
2009-01-03;7;30;15113.40
2009-01-03;7;45;15143.30
2009-01-03;8;0;15261.60
2009-01-03;8;15;15500.80
2009-01-03;8;30;15689.80
2009-01-03;8;45;16047.30
2009-01-03;9;0;16356.10
2009-01-03;9;15;16606.70
2009-01-03;9;30;16761.60
2009-01-03;9;45;17050.40
2009-01-03;10;0;17279.30
2009-01-03;10;15;17358.00
2009-01-03;10;30;17474.70
2009-01-03;10;45;17656.50
2009-01-03;11;0;17652.60
2009-01-03;11;15;17761.30
2009-01-03;11;30;17706.90
2009-01-03;11;45;17723.10
2009-01-03;12;0;17819.80
2009-01-03;12;15;17888.30
2009-01-03;12;30;17889.20
2009-01-03;12;45;17906.50
2009-01-03;13;0;18007.70
2009-01-03;13;15;18083.70
2009-01-03;13;30;18166.30
2009-01-03;13;45;18055.50
2009-01-03;14;0;17807.30
2009-01-03;14;15;17979.90
2009-01-03;14;30;17829.80
2009-01-03;14;45;17813.70
2009-01-03;15;0;17676.10
2009-01-03;15;15;17710.70
2009-01-03;15;30;17861.30
