Data;Godzina;Minuty;Wolumen
2007-01-01;0;15;14778.30
2007-01-01;0;30;14619.80
2007-01-01;0;45;14645.80
2007-01-01;1;0;14471.20
2007-01-01;1;15;14282.70
2007-01-01;1;30;13951.40
2007-01-01;1;45;13852.80
2007-01-01;2;0;13631.80
2007-01-01;2;15;13594.00
2007-01-01;2;30;13367.20
2007-01-01;2;45;13232.80
2007-01-01;3;0;13048.70
2007-01-01;3;15;13249.40
2007-01-01;3;30;13078.30
2007-01-01;3;45;12952.10
2007-01-01;4;0;12998.70
2007-01-01;4;15;12851.10
2007-01-01;4;30;12875.10
2007-01-01;4;45;12667.80
2007-01-01;5;0;12624.20
2007-01-01;5;15;12912.10
2007-01-01;5;30;12794.60
2007-01-01;5;45;12777.70
2007-01-01;6;0;12711.40
2007-01-01;6;15;12756.00
2007-01-01;6;30;12964.10
2007-01-01;6;45;13217.90
2007-01-01;7;0;13274.10
2007-01-01;7;15;13188.20
2007-01-01;7;30;13043.20
2007-01-01;7;45;12821.70
2007-01-01;8;0;12791.60
2007-01-01;8;15;12714.60
2007-01-01;8;30;12766.90
2007-01-01;8;45;13078.60
2007-01-01;9;0;13081.00
2007-01-01;9;15;12877.90
2007-01-01;9;30;13071.60
2007-01-01;9;45;13129.70
2007-01-01;10;0;12995.30
2007-01-01;10;15;13011.80
2007-01-01;10;30;13158.90
2007-01-01;10;45;13181.10
2007-01-01;11;0;13316.90
2007-01-01;11;15;13362.50
2007-01-01;11;30;13310.60
2007-01-01;11;45;13411.30
2007-01-01;12;0;13422.50
2007-01-01;12;15;13700.70
2007-01-01;12;30;13729.20
2007-01-01;12;45;13821.50
2007-01-01;13;0;14074.30
2007-01-01;13;15;14126.60
2007-01-01;13;30;14178.10
2007-01-01;13;45;14122.40
2007-01-01;14;0;14198.20
2007-01-01;14;15;14314.40
2007-01-01;14;30;14224.50
2007-01-01;14;45;14278.20
2007-01-01;15;0;14162.90
2007-01-01;15;15;14365.30
2007-01-01;15;30;14653.10
2007-01-01;15;45;14795.40
2007-01-01;16;0;15573.00
2007-01-01;16;15;16216.50
2007-01-01;16;30;16574.20
