Data;Godzina;Minuty;Wolumen
2015-01-01;0;15;15729.40
2015-01-01;0;30;15597.50
2015-01-01;0;45;15476.00
2015-01-01;1;0;15103.10
2015-01-01;1;15;14938.80
2015-01-01;1;30;14726.30
2015-01-01;1;45;14620.50
2015-01-01;2;0;14198.10
2015-01-01;2;15;14132.40
2015-01-01;2;30;13890.00
2015-01-01;2;45;14132.10
2015-01-01;3;0;13939.20
2015-01-01;3;15;13854.80
2015-01-01;3;30;13574.20
2015-01-01;3;45;13662.70
2015-01-01;4;0;13635.70
2015-01-01;4;15;13752.20
2015-01-01;4;30;13642.60
2015-01-01;4;45;13489.50
2015-01-01;5;0;13595.50
2015-01-01;5;15;13645.50
2015-01-01;5;30;13502.30
2015-01-01;5;45;13675.10
2015-01-01;6;0;13668.40
2015-01-01;6;15;13833.80
2015-01-01;6;30;13834.40
2015-01-01;6;45;13968.80
2015-01-01;7;0;14146.00
2015-01-01;7;15;14162.10
2015-01-01;7;30;13959.20
2015-01-01;7;45;13762.00
2015-01-01;8;0;13776.40
2015-01-01;8;15;13883.40
2015-01-01;8;30;13926.00
2015-01-01;8;45;13972.60
2015-01-01;9;0;13770.10
2015-01-01;9;15;13482.20
2015-01-01;9;30;13515.20
2015-01-01;9;45;13582.30
2015-01-01;10;0;13828.90
2015-01-01;10;15;13988.40
2015-01-01;10;30;14126.90
2015-01-01;10;45;14194.50
2015-01-01;11;0;14356.90
2015-01-01;11;15;14479.00
2015-01-01;11;30;14770.60
2015-01-01;11;45;14928.40
2015-01-01;12;0;15102.00
2015-01-01;12;15;15186.00
2015-01-01;12;30;15105.50
2015-01-01;12;45;15261.00
2015-01-01;13;0;15361.90
2015-01-01;13;15;15701.20
2015-01-01;13;30;15640.30
2015-01-01;13;45;15736.10
2015-01-01;14;0;15656.20
2015-01-01;14;15;15799.20
2015-01-01;14;30;15595.60
2015-01-01;14;45;15772.60
2015-01-01;15;0;15667.40
2015-01-01;15;15;15754.00
2015-01-01;15;30;15754.20
2015-01-01;15;45;15980.80
2015-01-01;16;0;16485.80
2015-01-01;16;15;17014.30
2015-01-01;16;30;17331.30
2015-01-01;16;45;17488.50
2015-01-01;17;0;17651.80
2015-01-01;17;15;17632.40
2015-01-01;17;30;17692.00
2015-01-01;17;45;17667.60
2015-01-01;18;0;17570.30
2015-01-01;18;15;17645.90
2015-01-01;18;30;17527.40
2015-01-01;18;45;17425.40
