Data;Godzina;Minuty;Wolumen
2008-01-01;0;15;15938.80
2008-01-01;0;30;15770.40
2008-01-01;0;45;15766.30
2008-01-01;1;0;15415.20
2008-01-01;1;15;15351.80
2008-01-01;1;30;15078.50
2008-01-01;1;45;14974.40
2008-01-01;2;0;14730.50
2008-01-01;2;15;14488.10
2008-01-01;2;30;14361.60
2008-01-01;2;45;14289.60
2008-01-01;3;0;14067.00
2008-01-01;3;15;13991.60
2008-01-01;3;30;13814.50
2008-01-01;3;45;13799.70
2008-01-01;4;0;13808.50
2008-01-01;4;15;13888.10
2008-01-01;4;30;13851.60
2008-01-01;4;45;13783.50
2008-01-01;5;0;13702.00
2008-01-01;5;15;13630.80
2008-01-01;5;30;13659.30
2008-01-01;5;45;13534.90
2008-01-01;6;0;13506.40
2008-01-01;6;15;13676.40
2008-01-01;6;30;13727.10
2008-01-01;6;45;13823.40
2008-01-01;7;0;13818.50
2008-01-01;7;15;14044.30
2008-01-01;7;30;13815.30
2008-01-01;7;45;13596.70
2008-01-01;8;0;13654.50
2008-01-01;8;15;13830.40
2008-01-01;8;30;13956.90
2008-01-01;8;45;13861.40
2008-01-01;9;0;13770.40
2008-01-01;9;15;13680.00
2008-01-01;9;30;13869.80
2008-01-01;9;45;13663.20
2008-01-01;10;0;13888.20
2008-01-01;10;15;13795.50
2008-01-01;10;30;13937.90
2008-01-01;10;45;13927.10
2008-01-01;11;0;14047.00
2008-01-01;11;15;14265.00
2008-01-01;11;30;14253.60
2008-01-01;11;45;14386.20
2008-01-01;12;0;14531.60
2008-01-01;12;15;14737.50
2008-01-01;12;30;14785.40
2008-01-01;12;45;14783.10
2008-01-01;13;0;14865.20
2008-01-01;13;15;15154.20
2008-01-01;13;30;15347.40
2008-01-01;13;45;15405.00
2008-01-01;14;0;15383.60
2008-01-01;14;15;15464.90
2008-01-01;14;30;15406.30
2008-01-01;14;45;15660.60
2008-01-01;15;0;15505.70
2008-01-01;15;15;15705.80
2008-01-01;15;30;15580.70
2008-01-01;15;45;16314.10
2008-01-01;16;0;16802.50
2008-01-01;16;15;17489.10
2008-01-01;16;30;17687.20
2008-01-01;16;45;17790.00
2008-01-01;17;0;18032.60
2008-01-01;17;15;17986.10
2008-01-01;17;30;18003.70
2008-01-01;17;45;18043.80
2008-01-01;18;0;17979.60
2008-01-01;18;15;17929.10
2008-01-01;18;30;18143.80
2008-01-01;18;45;18010.30
2008-01-01;19;0;18367.70
2008-01-01;19;15;18155.80
2008-01-01;19;30;18472.20
2008-01-01;19;45;18359.00
2008-01-01;20;0;18345.10
2008-01-01;20;15;18103.30
2008-01-01;20;30;18060.30
2008-01-01;20;45;17640.10
2008-01-01;21;0;17680.30
2008-01-01;21;15;17430.90
2008-01-01;21;30;17218.50
2008-01-01;21;45;16869.90
2008-01-01;22;0;16766.10
2008-01-01;22;15;16656.20
2008-01-01;22;30;16425.00
2008-01-01;22;45;16079.50
2008-01-01;23;0;15800.70
2008-01-01;23;15;15430.30
2008-01-01;23;30;15189.60
2008-01-01;23;45;14771.20
2008-01-01;24;0;14609.70
2008-01-02;0;15;14343.00
2008-01-02;0;30;14439.00
2008-01-02;0;45;14221.10
2008-01-02;1;0;14338.60
2008-01-02;1;15;14176.90
2008-01-02;1;30;14355.60
2008-01-02;1;45;14220.10
2008-01-02;2;0;14109.60
2008-01-02;2;15;14342.10
2008-01-02;2;30;14243.80
2008-01-02;2;45;14167.60
2008-01-02;3;0;14134.60
2008-01-02;3;15;14312.10
2008-01-02;3;30;14284.00
2008-01-02;3;45;14362.70
2008-01-02;4;0;14272.20
2008-01-02;4;15;14412.70
2008-01-02;4;30;14521.50
2008-01-02;4;45;14607.30
2008-01-02;5;0;14775.00
2008-01-02;5;15;15148.80
2008-01-02;5;30;15260.60
2008-01-02;5;45;15404.80
2008-01-02;6;0;16092.10
2008-01-02;6;15;16869.60
2008-01-02;6;30;17457.50
2008-01-02;6;45;18168.70
2008-01-02;7;0;18993.10
2008-01-02;7;15;19725.30
2008-01-02;7;30;19802.50
2008-01-02;7;45;19943.70
2008-01-02;8;0;20037.50
2008-01-02;8;15;20350.60
2008-01-02;8;30;20643.70
2008-01-02;8;45;20817.80
2008-01-02;9;0;20992.90
2008-01-02;9;15;21237.20
2008-01-02;9;30;21317.30
2008-01-02;9;45;21340.50
2008-01-02;10;0;21545.10
2008-01-02;10;15;21397.80
2008-01-02;10;30;21479.50
2008-01-02;10;45;21687.30
2008-01-02;11;0;21843.00
2008-01-02;11;15;21726.10
2008-01-02;11;30;21983.10
2008-01-02;11;45;21856.20
2008-01-02;12;0;21963.60
2008-01-02;12;15;21917.20
2008-01-02;12;30;21810.30
2008-01-02;12;45;21820.80
2008-01-02;13;0;22098.70
2008-01-02;13;15;22323.20
2008-01-02;13;30;22221.50
2008-01-02;13;45;21935.70
2008-01-02;14;0;21841.50
2008-01-02;14;15;21879.20
2008-01-02;14;30;22034.90
2008-01-02;14;45;21970.50
2008-01-02;15;0;21731.00
2008-01-02;15;15;21628.30
2008-01-02;15;30;21936.40
2008-01-02;15;45;22222.30
2008-01-02;16;0;22824.10
2008-01-02;16;15;23388.30
2008-01-02;16;30;23724.20
2008-01-02;16;45;23971.80
2008-01-02;17;0;24039.60
2008-01-02;17;15;23739.20
2008-01-02;17;30;23777.70
2008-01-02;17;45;23703.60
2008-01-02;18;0;23706.30
2008-01-02;18;15;23506.10
2008-01-02;18;30;23673.10
2008-01-02;18;45;23365.40
2008-01-02;19;0;23381.40
2008-01-02;19;15;23591.70
2008-01-02;19;30;23360.00
2008-01-02;19;45;23363.30
2008-01-02;20;0;23222.70
2008-01-02;20;15;23135.20
2008-01-02;20;30;22798.00
2008-01-02;20;45;22576.00
2008-01-02;21;0;22362.20
2008-01-02;21;15;22100.00
2008-01-02;21;30;21652.20
2008-01-02;21;45;21106.50
2008-01-02;22;0;20537.00
2008-01-02;22;15;20462.70
2008-01-02;22;30;20296.10
2008-01-02;22;45;20201.50
2008-01-02;23;0;19843.40
2008-01-02;23;15;19490.50
2008-01-02;23;30;18982.60
2008-01-02;23;45;18825.40
2008-01-02;24;0;18360.50
2008-01-03;0;15;18155.90
2008-01-03;0;30;17994.10
2008-01-03;0;45;17662.30
2008-01-03;1;0;17295.20
2008-01-03;1;15;17416.40
2008-01-03;1;30;17378.00
2008-01-03;1;45;17273.80
2008-01-03;2;0;17067.40
2008-01-03;2;15;17013.50
2008-01-03;2;30;17050.70
2008-01-03;2;45;16918.70
2008-01-03;3;0;16903.20
2008-01-03;3;15;16935.00
2008-01-03;3;30;17085.20
2008-01-03;3;45;17070.60
2008-01-03;4;0;16864.60
2008-01-03;4;15;17135.60
2008-01-03;4;30;16986.90
2008-01-03;4;45;17138.20
2008-01-03;5;0;17285.50
2008-01-03;5;15;17446.20
2008-01-03;5;30;17663.70
2008-01-03;5;45;17767.50
2008-01-03;6;0;18032.30
2008-01-03;6;15;18833.70
2008-01-03;6;30;19393.90
2008-01-03;6;45;20017.30
2008-01-03;7;0;20869.60
2008-01-03;7;15;21295.50
2008-01-03;7;30;21502.80
2008-01-03;7;45;21402.60
2008-01-03;8;0;21497.10
2008-01-03;8;15;21794.00
2008-01-03;8;30;21919.60
2008-01-03;8;45;21915.90
2008-01-03;9;0;22097.10
2008-01-03;9;15;22188.90
2008-01-03;9;30;22344.70
2008-01-03;9;45;22174.20
2008-01-03;10;0;22075.20
2008-01-03;10;15;22205.20
2008-01-03;10;30;22273.60
2008-01-03;10;45;22204.20
2008-01-03;11;0;22266.50
2008-01-03;11;15;22248.40
2008-01-03;11;30;22436.00
2008-01-03;11;45;22187.90
2008-01-03;12;0;22332.60
2008-01-03;12;15;22275.20
2008-01-03;12;30;22447.80
2008-01-03;12;45;22522.90
2008-01-03;13;0;22743.40
2008-01-03;13;15;22886.50
2008-01-03;13;30;22840.50
2008-01-03;13;45;22580.20
2008-01-03;14;0;22286.10
2008-01-03;14;15;22394.60
2008-01-03;14;30;22481.70
2008-01-03;14;45;22462.30
2008-01-03;15;0;22048.50
2008-01-03;15;15;22179.90
2008-01-03;15;30;22252.80
2008-01-03;15;45;22731.60
2008-01-03;16;0;23104.60
2008-01-03;16;15;23809.20
2008-01-03;16;30;24428.30
2008-01-03;16;45;24475.40
2008-01-03;17;0;24743.40
2008-01-03;17;15;24752.00
2008-01-03;17;30;24673.30
2008-01-03;17;45;24689.10
2008-01-03;18;0;24456.30
2008-01-03;18;15;24394.90
2008-01-03;18;30;24368.70
2008-01-03;18;45;24432.30
2008-01-03;19;0;24307.10
2008-01-03;19;15;24212.50
2008-01-03;19;30;24192.30
2008-01-03;19;45;24212.60
2008-01-03;20;0;23920.00
2008-01-03;20;15;23755.70
2008-01-03;20;30;23358.70
2008-01-03;20;45;23240.60
2008-01-03;21;0;22903.60
2008-01-03;21;15;22698.00
2008-01-03;21;30;22216.40
2008-01-03;21;45;21755.70
2008-01-03;22;0;21126.10
2008-01-03;22;15;20838.30
2008-01-03;22;30;20631.30
2008-01-03;22;45;20291.70
2008-01-03;23;0;19839.00
2008-01-03;23;15;19543.00
2008-01-03;23;30;19133.00
2008-01-03;23;45;18751.10
2008-01-03;24;0;18676.80
2008-01-04;0;15;18414.10
2008-01-04;0;30;18301.40
2008-01-04;0;45;18108.30
2008-01-04;1;0;18177.00
2008-01-04;1;15;17932.00
2008-01-04;1;30;17953.80
2008-01-04;1;45;17718.00
2008-01-04;2;0;17801.00
2008-01-04;2;15;17710.40
2008-01-04;2;30;17748.30
2008-01-04;2;45;17721.70
2008-01-04;3;0;17762.90
2008-01-04;3;15;17852.00
2008-01-04;3;30;17607.50
2008-01-04;3;45;17757.80
2008-01-04;4;0;17711.10
2008-01-04;4;15;17786.80
2008-01-04;4;30;17925.30
2008-01-04;4;45;18097.00
2008-01-04;5;0;18171.20
2008-01-04;5;15;18245.00
2008-01-04;5;30;18390.20
2008-01-04;5;45;18566.50
2008-01-04;6;0;18851.50
2008-01-04;6;15;19493.70
2008-01-04;6;30;20178.30
2008-01-04;6;45;20606.90
