Data;Godzina;Minuty;Wolumen
2013-01-01;0;15;14928.20
2013-01-01;0;30;14967.70
2013-01-01;0;45;14814.20
2013-01-01;1;0;14557.10
2013-01-01;1;15;14316.60
2013-01-01;1;30;14172.80
2013-01-01;1;45;13880.10
2013-01-01;2;0;13816.00
2013-01-01;2;15;13600.30
2013-01-01;2;30;13487.80
2013-01-01;2;45;13347.80
2013-01-01;3;0;13457.80
2013-01-01;3;15;13310.70
2013-01-01;3;30;13443.40
2013-01-01;3;45;13308.90
2013-01-01;4;0;13344.20
2013-01-01;4;15;13404.90
2013-01-01;4;30;13363.00
2013-01-01;4;45;13332.60
2013-01-01;5;0;13222.70
2013-01-01;5;15;13308.80
2013-01-01;5;30;13205.30
2013-01-01;5;45;13325.60
2013-01-01;6;0;13330.50
2013-01-01;6;15;13515.20
2013-01-01;6;30;13577.20
2013-01-01;6;45;13463.30
2013-01-01;7;0;13461.90
2013-01-01;7;15;13464.10
2013-01-01;7;30;13296.50
2013-01-01;7;45;13247.40
2013-01-01;8;0;13061.70
2013-01-01;8;15;13224.80
2013-01-01;8;30;13308.90
2013-01-01;8;45;13359.70
2013-01-01;9;0;13542.40
2013-01-01;9;15;13733.30
2013-01-01;9;30;13859.40
2013-01-01;9;45;13892.30
2013-01-01;10;0;13761.90
2013-01-01;10;15;13766.50
2013-01-01;10;30;13697.90
2013-01-01;10;45;13778.10
2013-01-01;11;0;13924.40
2013-01-01;11;15;13661.80
2013-01-01;11;30;13681.20
2013-01-01;11;45;13875.60
2013-01-01;12;0;13987.80
2013-01-01;12;15;14101.90
2013-01-01;12;30;14089.70
2013-01-01;12;45;14170.30
2013-01-01;13;0;14313.00
2013-01-01;13;15;14488.40
2013-01-01;13;30;14599.90
2013-01-01;13;45;14516.80
2013-01-01;14;0;14594.90
2013-01-01;14;15;14589.20
2013-01-01;14;30;14474.80
2013-01-01;14;45;14567.10
2013-01-01;15;0;14413.50
2013-01-01;15;15;14572.20
2013-01-01;15;30;14683.70
2013-01-01;15;45;15104.60
2013-01-01;16;0;15663.90
2013-01-01;16;15;16411.60
2013-01-01;16;30;16727.80
2013-01-01;16;45;16818.60
2013-01-01;17;0;16982.80
2013-01-01;17;15;17196.10
2013-01-01;17;30;17067.70
2013-01-01;17;45;17108.70
2013-01-01;18;0;17144.10
2013-01-01;18;15;17233.00
2013-01-01;18;30;17285.20
2013-01-01;18;45;17291.80
2013-01-01;19;0;17237.10
2013-01-01;19;15;17363.20
2013-01-01;19;30;17496.90
2013-01-01;19;45;17311.80
2013-01-01;20;0;17216.40
2013-01-01;20;15;17290.10
2013-01-01;20;30;17103.20
2013-01-01;20;45;16921.30
2013-01-01;21;0;16518.30
2013-01-01;21;15;16379.60
2013-01-01;21;30;16091.80
2013-01-01;21;45;15715.10
2013-01-01;22;0;15702.00
2013-01-01;22;15;15662.80
2013-01-01;22;30;15242.90
2013-01-01;22;45;14844.90
2013-01-01;23;0;14630.10
2013-01-01;23;15;14367.50
2013-01-01;23;30;14109.30
2013-01-01;23;45;13685.00
2013-01-01;24;0;13508.10
2013-01-02;0;15;13309.20
2013-01-02;0;30;13252.60
2013-01-02;0;45;13176.00
2013-01-02;1;0;13219.40
2013-01-02;1;15;13247.50
2013-01-02;1;30;13316.70
2013-01-02;1;45;13332.50
2013-01-02;2;0;13308.40
2013-01-02;2;15;13272.70
2013-01-02;2;30;13298.90
2013-01-02;2;45;13271.30
2013-01-02;3;0;13259.00
2013-01-02;3;15;13196.40
2013-01-02;3;30;13270.00
2013-01-02;3;45;13315.30
2013-01-02;4;0;13345.40
2013-01-02;4;15;13386.30
2013-01-02;4;30;13472.10
2013-01-02;4;45;13513.00
2013-01-02;5;0;13720.00
2013-01-02;5;15;13722.30
2013-01-02;5;30;13896.40
2013-01-02;5;45;14308.20
2013-01-02;6;0;14975.80
2013-01-02;6;15;15893.40
2013-01-02;6;30;16615.60
2013-01-02;6;45;17473.70
2013-01-02;7;0;18124.70
2013-01-02;7;15;18672.00
2013-01-02;7;30;18809.90
2013-01-02;7;45;18827.60
2013-01-02;8;0;19070.50
2013-01-02;8;15;19406.60
2013-01-02;8;30;19663.10
2013-01-02;8;45;19889.90
2013-01-02;9;0;20136.30
2013-01-02;9;15;20344.10
2013-01-02;9;30;20375.00
2013-01-02;9;45;20524.80
2013-01-02;10;0;20516.20
2013-01-02;10;15;20524.30
2013-01-02;10;30;20739.50
2013-01-02;10;45;20862.10
2013-01-02;11;0;20909.30
2013-01-02;11;15;20845.60
2013-01-02;11;30;21011.20
2013-01-02;11;45;20952.80
2013-01-02;12;0;20997.00
2013-01-02;12;15;21134.90
2013-01-02;12;30;21038.00
2013-01-02;12;45;21038.60
2013-01-02;13;0;21213.70
2013-01-02;13;15;21473.30
2013-01-02;13;30;21484.90
2013-01-02;13;45;21105.80
2013-01-02;14;0;20996.90
2013-01-02;14;15;21081.20
2013-01-02;14;30;21100.30
2013-01-02;14;45;21070.20
2013-01-02;15;0;21059.40
2013-01-02;15;15;20798.40
2013-01-02;15;30;21001.80
2013-01-02;15;45;21183.00
2013-01-02;16;0;21883.30
2013-01-02;16;15;22370.90
